fecha_captura,torneo,Pos.,Equipo,Pts.,PJ,PG,PE,PP,GF,GC,Dif.
2026-08-26,Primera Argentina 2026,1.º,Independiente Rivadavia,42,22,12,6,4,34,21,13
2026-08-26,Primera Argentina 2026,2.º,Argentinos Juniors,42,22,12,6,4,28,21,7
2026-08-26,Primera Argentina 2026,3.º,Vélez Sarsfield,40,22,10,10,2,27,17,10
2026-08-26,Primera Argentina 2026,4.º,Rosario Central,39,22,11,6,5,27,21,6
2026-08-26,Primera Argentina 2026,5.º,Estudiantes (LP),37,22,11,4,7,26,14,12
2026-08-26,Primera Argentina 2026,6.º,Boca Juniors,37,22,9,10,3,28,17,11
2026-08-26,Primera Argentina 2026,7.º,Belgrano [n. 1],36,22,10,6,6,24,17,7
2026-08-26,Primera Argentina 2026,8.º,Gimnasia y Esgrima (LP),35,22,11,2,9,27,29,−2
2026-08-26,Primera Argentina 2026,9.º,Independiente,34,22,9,7,6,30,23,7
2026-08-26,Primera Argentina 2026,10.º,Instituto,34,22,10,4,8,22,19,3
2026-08-26,Primera Argentina 2026,11.º,River Plate,33,22,10,3,9,26,18,8
2026-08-26,Primera Argentina 2026,12.º,Tigre,31,22,7,10,5,24,18,6
2026-08-26,Primera Argentina 2026,13.º,Lanús,31,22,8,7,7,25,22,3
2026-08-26,Primera Argentina 2026,14.º,Sarmiento (J),31,22,10,1,11,25,28,−3
2026-08-26,Primera Argentina 2026,15.º,Gimnasia y Esgrima (M),31,22,9,4,9,23,27,−4
2026-08-26,Primera Argentina 2026,16.º,Huracán,30,22,7,9,6,21,17,4
2026-08-26,Primera Argentina 2026,17.º,Talleres (C),30,22,8,6,8,25,25,0
2026-08-26,Primera Argentina 2026,18.º,Barracas Central,30,22,8,6,8,19,20,−1
2026-08-26,Primera Argentina 2026,19.º,Defensa y Justicia,30,22,7,9,6,26,29,−3
2026-08-26,Primera Argentina 2026,20.º,San Lorenzo,29,22,7,8,7,16,18,−2
2026-08-26,Primera Argentina 2026,21.º,Unión,28,22,7,7,8,32,29,3
2026-08-26,Primera Argentina 2026,22.º,Racing Club,26,22,6,8,8,22,23,−1
2026-08-26,Primera Argentina 2026,23.º,Banfield,25,22,7,4,11,22,26,−4
2026-08-26,Primera Argentina 2026,24.º,Newell's Old Boys,25,22,6,7,9,23,33,−10
2026-08-26,Primera Argentina 2026,25.º,Platense,24,22,5,9,8,17,25,−8
2026-08-26,Primera Argentina 2026,26.º,Atlético Tucumán,23,22,5,8,9,19,22,−3
2026-08-26,Primera Argentina 2026,27.º,Central Córdoba (SdE),22,22,6,4,12,15,28,−13
2026-08-26,Primera Argentina 2026,28.º,Deportivo Riestra,18,22,3,9,10,11,17,−6
2026-08-26,Primera Argentina 2026,29.º,Aldosivi,10,22,0,10,12,10,28,−18
2026-08-26,Primera Argentina 2026,30.º,Estudiantes (RC),10,22,2,4,16,7,30,−23
