fecha_captura,torneo,Pos.,Equipo,Pts.,PJ,G,E,P,GF,GC,Dif.,Zona
2026-06-16,Liga de Primera 2026,1,Colo-Colo,36,15,12,0,3,29,12,+17,Libertadores/Champions
2026-06-16,Liga de Primera 2026,2,Universidad Católica,26,15,8,2,5,35,20,+15,Libertadores/Champions
2026-06-16,Liga de Primera 2026,3,Coquimbo Unido,24,15,7,3,5,22,18,+4,Libertadores/Champions
2026-06-16,Liga de Primera 2026,4,Palestino,24,15,7,3,5,23,21,+2,Libertadores/Champions
2026-06-16,Liga de Primera 2026,5,Huachipato,23,15,7,2,6,23,22,+1,Internacional
2026-06-16,Liga de Primera 2026,6,Everton,22,15,6,4,5,19,15,+4,Internacional
2026-06-16,Liga de Primera 2026,7,Ñublense,22,15,5,7,3,18,19,−1,Zona media
2026-06-16,Liga de Primera 2026,8,Deportes Limache,21,15,6,3,6,30,23,+7,Zona media
2026-06-16,Liga de Primera 2026,9,Universidad de Chile,21,14,5,6,3,15,10,+5,Zona media
2026-06-16,Liga de Primera 2026,10,O'Higgins,20,14,6,2,6,19,20,−1,Zona media
2026-06-16,Liga de Primera 2026,11,Universidad de Concepción,19,15,5,4,6,13,26,−13,Zona media
2026-06-16,Liga de Primera 2026,12,Deportes La Serena,18,15,4,6,5,21,25,−4,Zona media
2026-06-16,Liga de Primera 2026,13,Audax Italiano,16,15,4,4,7,18,21,−3,Zona media
2026-06-16,Liga de Primera 2026,14,Deportes Concepción,14,15,4,2,9,14,23,−9,Zona media
2026-06-16,Liga de Primera 2026,15,Cobresal,13,15,4,1,10,19,29,−10,Descenso
2026-06-16,Liga de Primera 2026,16,Unión La Calera,12,15,3,3,9,14,28,−14,Descenso
