fecha_captura,Equipo,GF,GC
2026-07-03,Arsenal (C),71,27
2026-07-03,Manchester City,77,35
2026-07-03,Manchester United,69,50
2026-07-03,Aston Villa,56,49
2026-07-03,Liverpool,63,53
2026-07-03,Bournemouth,58,54
2026-07-03,Sunderland,42,48
2026-07-03,Brighton & Hove Albion,52,46
2026-07-03,Brentford,55,52
2026-07-03,Chelsea,58,52
2026-07-03,Fulham,47,51
2026-07-03,Newcastle United,53,55
2026-07-03,Everton,47,50
2026-07-03,Leeds United,49,56
2026-07-03,Crystal Palace[d],41,51
2026-07-03,Nottingham Forest,48,51
2026-07-03,Tottenham Hotspur,48,57
2026-07-03,West Ham United (D),46,65
2026-07-03,Burnley (D),38,75
2026-07-03,Wolverhampton Wanderers (D),27,68
