fecha_captura,Equipo,GF,GC
2026-06-07,F. C. Barcelona (C),95,36
2026-06-07,Real Madrid C. F.,77,35
2026-06-07,Villarreal C. F.,72,46
2026-06-07,Atlético de Madrid,62,44
2026-06-07,Real Betis Balompié[a],59,48
2026-06-07,R. C. Celta de Vigo,53,48
2026-06-07,Getafe C. F.,32,38
2026-06-07,Rayo Vallecano,41,44
2026-06-07,Valencia C. F.,46,55
2026-06-07,Real Sociedad[b],59,61
2026-06-07,R. C. D. Espanyol,43,55
2026-06-07,Athletic Club,43,58
2026-06-07,Sevilla F. C.,46,60
2026-06-07,Deportivo Alavés,44,56
2026-06-07,Elche C. F.,49,57
2026-06-07,Levante U. D.,47,61
2026-06-07,C. A. Osasuna,44,50
2026-06-07,R. C. D. Mallorca (D),47,57
2026-06-07,Girona F. C. (D),39,55
2026-06-07,Real Oviedo (D),26,60
2026-06-08,F. C. Barcelona (C),95,36
2026-06-08,Real Madrid C. F.,77,35
2026-06-08,Villarreal C. F.,72,46
2026-06-08,Atlético de Madrid,62,44
2026-06-08,Real Betis Balompié[a],59,48
2026-06-08,R. C. Celta de Vigo,53,48
2026-06-08,Getafe C. F.,32,38
2026-06-08,Rayo Vallecano,41,44
2026-06-08,Valencia C. F.,46,55
2026-06-08,Real Sociedad[b],59,61
2026-06-08,R. C. D. Espanyol,43,55
2026-06-08,Athletic Club,43,58
2026-06-08,Sevilla F. C.,46,60
2026-06-08,Deportivo Alavés,44,56
2026-06-08,Elche C. F.,49,57
2026-06-08,Levante U. D.,47,61
2026-06-08,C. A. Osasuna,44,50
2026-06-08,R. C. D. Mallorca (D),47,57
2026-06-08,Girona F. C. (D),39,55
2026-06-08,Real Oviedo (D),26,60
2026-06-09,F. C. Barcelona (C),95,36
2026-06-09,Real Madrid C. F.,77,35
2026-06-09,Villarreal C. F.,72,46
2026-06-09,Atlético de Madrid,62,44
2026-06-09,Real Betis Balompié[a],59,48
2026-06-09,R. C. Celta de Vigo,53,48
2026-06-09,Getafe C. F.,32,38
2026-06-09,Rayo Vallecano,41,44
2026-06-09,Valencia C. F.,46,55
2026-06-09,Real Sociedad[b],59,61
2026-06-09,R. C. D. Espanyol,43,55
2026-06-09,Athletic Club,43,58
2026-06-09,Sevilla F. C.,46,60
2026-06-09,Deportivo Alavés,44,56
2026-06-09,Elche C. F.,49,57
2026-06-09,Levante U. D.,47,61
2026-06-09,C. A. Osasuna,44,50
2026-06-09,R. C. D. Mallorca (D),47,57
2026-06-09,Girona F. C. (D),39,55
2026-06-09,Real Oviedo (D),26,60
2026-06-10,F. C. Barcelona (C),95,36
2026-06-10,Real Madrid C. F.,77,35
2026-06-10,Villarreal C. F.,72,46
2026-06-10,Atlético de Madrid,62,44
2026-06-10,Real Betis Balompié[a],59,48
2026-06-10,R. C. Celta de Vigo,53,48
2026-06-10,Getafe C. F.,32,38
2026-06-10,Rayo Vallecano,41,44
2026-06-10,Valencia C. F.,46,55
2026-06-10,Real Sociedad[b],59,61
2026-06-10,R. C. D. Espanyol,43,55
2026-06-10,Athletic Club,43,58
2026-06-10,Sevilla F. C.,46,60
2026-06-10,Deportivo Alavés,44,56
2026-06-10,Elche C. F.,49,57
2026-06-10,Levante U. D.,47,61
2026-06-10,C. A. Osasuna,44,50
2026-06-10,R. C. D. Mallorca (D),47,57
2026-06-10,Girona F. C. (D),39,55
2026-06-10,Real Oviedo (D),26,60
2026-06-11,F. C. Barcelona (C),95,36
2026-06-11,Real Madrid C. F.,77,35
2026-06-11,Villarreal C. F.,72,46
2026-06-11,Atlético de Madrid,62,44
2026-06-11,Real Betis Balompié[a],59,48
2026-06-11,R. C. Celta de Vigo,53,48
2026-06-11,Getafe C. F.,32,38
2026-06-11,Rayo Vallecano,41,44
2026-06-11,Valencia C. F.,46,55
2026-06-11,Real Sociedad[b],59,61
2026-06-11,R. C. D. Espanyol,43,55
2026-06-11,Athletic Club,43,58
2026-06-11,Sevilla F. C.,46,60
2026-06-11,Deportivo Alavés,44,56
2026-06-11,Elche C. F.,49,57
2026-06-11,Levante U. D.,47,61
2026-06-11,C. A. Osasuna,44,50
2026-06-11,R. C. D. Mallorca (D),47,57
2026-06-11,Girona F. C. (D),39,55
2026-06-11,Real Oviedo (D),26,60
2026-06-12,F. C. Barcelona (C),95,36
2026-06-12,Real Madrid C. F.,77,35
2026-06-12,Villarreal C. F.,72,46
2026-06-12,Atlético de Madrid,62,44
2026-06-12,Real Betis Balompié[a],59,48
2026-06-12,R. C. Celta de Vigo,53,48
2026-06-12,Getafe C. F.,32,38
2026-06-12,Rayo Vallecano,41,44
2026-06-12,Valencia C. F.,46,55
2026-06-12,Real Sociedad[b],59,61
2026-06-12,R. C. D. Espanyol,43,55
2026-06-12,Athletic Club,43,58
2026-06-12,Sevilla F. C.,46,60
2026-06-12,Deportivo Alavés,44,56
2026-06-12,Elche C. F.,49,57
2026-06-12,Levante U. D.,47,61
2026-06-12,C. A. Osasuna,44,50
2026-06-12,R. C. D. Mallorca (D),47,57
2026-06-12,Girona F. C. (D),39,55
2026-06-12,Real Oviedo (D),26,60
2026-06-13,F. C. Barcelona (C),95,36
2026-06-13,Real Madrid C. F.,77,35
2026-06-13,Villarreal C. F.,72,46
2026-06-13,Atlético de Madrid,62,44
2026-06-13,Real Betis Balompié[a],59,48
2026-06-13,R. C. Celta de Vigo,53,48
2026-06-13,Getafe C. F.,32,38
2026-06-13,Rayo Vallecano,41,44
2026-06-13,Valencia C. F.,46,55
2026-06-13,Real Sociedad[b],59,61
2026-06-13,R. C. D. Espanyol,43,55
2026-06-13,Athletic Club,43,58
2026-06-13,Sevilla F. C.,46,60
2026-06-13,Deportivo Alavés,44,56
2026-06-13,Elche C. F.,49,57
2026-06-13,Levante U. D.,47,61
2026-06-13,C. A. Osasuna,44,50
2026-06-13,R. C. D. Mallorca (D),47,57
2026-06-13,Girona F. C. (D),39,55
2026-06-13,Real Oviedo (D),26,60
2026-06-14,F. C. Barcelona (C),95,36
2026-06-14,Real Madrid C. F.,77,35
2026-06-14,Villarreal C. F.,72,46
2026-06-14,Atlético de Madrid,62,44
2026-06-14,Real Betis Balompié[a],59,48
2026-06-14,R. C. Celta de Vigo,53,48
2026-06-14,Getafe C. F.,32,38
2026-06-14,Rayo Vallecano,41,44
2026-06-14,Valencia C. F.,46,55
2026-06-14,Real Sociedad[b],59,61
2026-06-14,R. C. D. Espanyol,43,55
2026-06-14,Athletic Club,43,58
2026-06-14,Sevilla F. C.,46,60
2026-06-14,Deportivo Alavés,44,56
2026-06-14,Elche C. F.,49,57
2026-06-14,Levante U. D.,47,61
2026-06-14,C. A. Osasuna,44,50
2026-06-14,R. C. D. Mallorca (D),47,57
2026-06-14,Girona F. C. (D),39,55
2026-06-14,Real Oviedo (D),26,60
2026-06-15,F. C. Barcelona (C),95,36
2026-06-15,Real Madrid C. F.,77,35
2026-06-15,Villarreal C. F.,72,46
2026-06-15,Atlético de Madrid,62,44
2026-06-15,Real Betis Balompié[a],59,48
2026-06-15,R. C. Celta de Vigo,53,48
2026-06-15,Getafe C. F.,32,38
2026-06-15,Rayo Vallecano,41,44
2026-06-15,Valencia C. F.,46,55
2026-06-15,Real Sociedad[b],59,61
2026-06-15,R. C. D. Espanyol,43,55
2026-06-15,Athletic Club,43,58
2026-06-15,Sevilla F. C.,46,60
2026-06-15,Deportivo Alavés,44,56
2026-06-15,Elche C. F.,49,57
2026-06-15,Levante U. D.,47,61
2026-06-15,C. A. Osasuna,44,50
2026-06-15,R. C. D. Mallorca (D),47,57
2026-06-15,Girona F. C. (D),39,55
2026-06-15,Real Oviedo (D),26,60
2026-06-16,F. C. Barcelona (C),95,36
2026-06-16,Real Madrid C. F.,77,35
2026-06-16,Villarreal C. F.,72,46
2026-06-16,Atlético de Madrid,62,44
2026-06-16,Real Betis Balompié[a],59,48
2026-06-16,R. C. Celta de Vigo,53,48
2026-06-16,Getafe C. F.,32,38
2026-06-16,Rayo Vallecano,41,44
2026-06-16,Valencia C. F.,46,55
2026-06-16,Real Sociedad[b],59,61
2026-06-16,R. C. D. Espanyol,43,55
2026-06-16,Athletic Club,43,58
2026-06-16,Sevilla F. C.,46,60
2026-06-16,Deportivo Alavés,44,56
2026-06-16,Elche C. F.,49,57
2026-06-16,Levante U. D.,47,61
2026-06-16,C. A. Osasuna,44,50
2026-06-16,R. C. D. Mallorca (D),47,57
2026-06-16,Girona F. C. (D),39,55
2026-06-16,Real Oviedo (D),26,60
2026-06-17,F. C. Barcelona (C),95,36
2026-06-17,Real Madrid C. F.,77,35
2026-06-17,Villarreal C. F.,72,46
2026-06-17,Atlético de Madrid,62,44
2026-06-17,Real Betis Balompié[a],59,48
2026-06-17,R. C. Celta de Vigo,53,48
2026-06-17,Getafe C. F.,32,38
2026-06-17,Rayo Vallecano,41,44
2026-06-17,Valencia C. F.,46,55
2026-06-17,Real Sociedad[b],59,61
2026-06-17,R. C. D. Espanyol,43,55
2026-06-17,Athletic Club,43,58
2026-06-17,Sevilla F. C.,46,60
2026-06-17,Deportivo Alavés,44,56
2026-06-17,Elche C. F.,49,57
2026-06-17,Levante U. D.,47,61
2026-06-17,C. A. Osasuna,44,50
2026-06-17,R. C. D. Mallorca (D),47,57
2026-06-17,Girona F. C. (D),39,55
2026-06-17,Real Oviedo (D),26,60
2026-06-18,F. C. Barcelona (C),95,36
2026-06-18,Real Madrid C. F.,77,35
2026-06-18,Villarreal C. F.,72,46
2026-06-18,Atlético de Madrid,62,44
2026-06-18,Real Betis Balompié[a],59,48
2026-06-18,R. C. Celta de Vigo,53,48
2026-06-18,Getafe C. F.,32,38
2026-06-18,Rayo Vallecano,41,44
2026-06-18,Valencia C. F.,46,55
2026-06-18,Real Sociedad[b],59,61
2026-06-18,R. C. D. Espanyol,43,55
2026-06-18,Athletic Club,43,58
2026-06-18,Sevilla F. C.,46,60
2026-06-18,Deportivo Alavés,44,56
2026-06-18,Elche C. F.,49,57
2026-06-18,Levante U. D.,47,61
2026-06-18,C. A. Osasuna,44,50
2026-06-18,R. C. D. Mallorca (D),47,57
2026-06-18,Girona F. C. (D),39,55
2026-06-18,Real Oviedo (D),26,60
2026-06-19,F. C. Barcelona (C),95,36
