fecha_captura,Equipo,GF,GC
2026-07-10,Bayern de Múnich (C),122,36
2026-07-10,Borussia Dortmund,70,34
2026-07-10,RB Leipzig,66,47
2026-07-10,Stuttgart,71,49
2026-07-10,Hoffenheim,65,52
2026-07-10,Bayer Leverkusen,68,47
2026-07-10,Friburgo,51,57
2026-07-10,Eintracht Fráncfort,61,65
2026-07-10,Augsburgo,45,61
2026-07-10,Mainz 05,44,53
2026-07-10,Unión Berlín,44,58
2026-07-10,Borussia Mönchengladbach,42,53
2026-07-10,Hamburgo,40,54
2026-07-10,Colonia,49,63
2026-07-10,Werder Bremen,37,60
2026-07-10,Wolfsburgo (D),45,69
2026-07-10,Heidenheim (D),41,72
2026-07-10,San Pauli (D),29,60
