fecha_captura,Equipo,GF,GC
2026-06-26,Bayern de Múnich (C),122,36
2026-06-26,Borussia Dortmund,70,34
2026-06-26,RB Leipzig,66,47
2026-06-26,Stuttgart,71,49
2026-06-26,Hoffenheim,65,52
2026-06-26,Bayer Leverkusen,68,47
2026-06-26,Friburgo,51,57
2026-06-26,Eintracht Fráncfort,61,65
2026-06-26,Augsburgo,45,61
2026-06-26,Mainz 05,44,53
2026-06-26,Unión Berlín,44,58
2026-06-26,Borussia Mönchengladbach,42,53
2026-06-26,Hamburgo,40,54
2026-06-26,Colonia,49,63
2026-06-26,Werder Bremen,37,60
2026-06-26,Wolfsburgo (D),45,69
2026-06-26,Heidenheim (D),41,72
2026-06-26,San Pauli (D),29,60
