fecha_captura,torneo,#,Jugador,Equipo,G,A,Part.
2026-06-07,Brasileirao 2026,1,Kevin Viveros,Athletico Paranaense,11,,17
2026-06-07,Brasileirao 2026,2,Pedro Guilherme Abreu dos Santos,Flamengo,10,,17
2026-06-07,Brasileirao 2026,3,Carlos Vinícius,Grêmio,9,,17
2026-06-07,Brasileirao 2026,4,John Kennedy,Fluminense,9,,17
2026-06-07,Brasileirao 2026,5,Breno Henrique Vasconcelos Lopes,Coritiba,8,,15
2026-06-07,Brasileirao 2026,6,Danilo dos Santos de Oliveira,Botafogo,7,,12
2026-06-07,Brasileirao 2026,7,Gabriel Barbosa,Santos,7,,12
2026-06-07,Brasileirao 2026,8,Arthur Cabral,Botafogo,7,,15
2026-06-07,Brasileirao 2026,9,Luciano Juba,Bahia,7,,15
2026-06-08,Brasileirao 2026,1,Kevin Viveros,Athletico Paranaense,11,,17
2026-06-08,Brasileirao 2026,2,Pedro Guilherme Abreu dos Santos,Flamengo,10,,17
2026-06-08,Brasileirao 2026,3,Carlos Vinícius,Grêmio,9,,17
2026-06-08,Brasileirao 2026,4,John Kennedy,Fluminense,9,,17
2026-06-08,Brasileirao 2026,5,Breno Henrique Vasconcelos Lopes,Coritiba,8,,15
2026-06-08,Brasileirao 2026,6,Danilo dos Santos de Oliveira,Botafogo,7,,12
2026-06-08,Brasileirao 2026,7,Gabriel Barbosa,Santos,7,,12
2026-06-08,Brasileirao 2026,8,Arthur Cabral,Botafogo,7,,15
2026-06-08,Brasileirao 2026,9,Luciano Juba,Bahia,7,,15
2026-06-09,Brasileirao 2026,1,Kevin Viveros,Athletico Paranaense,11,,17
2026-06-09,Brasileirao 2026,2,Pedro Guilherme Abreu dos Santos,Flamengo,10,,17
2026-06-09,Brasileirao 2026,3,Carlos Vinícius,Grêmio,9,,17
2026-06-09,Brasileirao 2026,4,John Kennedy,Fluminense,9,,17
2026-06-09,Brasileirao 2026,5,Breno Henrique Vasconcelos Lopes,Coritiba,8,,15
2026-06-09,Brasileirao 2026,6,Danilo dos Santos de Oliveira,Botafogo,7,,12
2026-06-09,Brasileirao 2026,7,Gabriel Barbosa,Santos,7,,12
2026-06-09,Brasileirao 2026,8,Arthur Cabral,Botafogo,7,,15
2026-06-09,Brasileirao 2026,9,Luciano Juba,Bahia,7,,15
2026-06-10,Brasileirao 2026,1,Kevin Viveros,Athletico Paranaense,11,,17
2026-06-10,Brasileirao 2026,2,Pedro Guilherme Abreu dos Santos,Flamengo,10,,17
2026-06-10,Brasileirao 2026,3,Carlos Vinícius,Grêmio,9,,17
2026-06-10,Brasileirao 2026,4,John Kennedy,Fluminense,9,,17
2026-06-10,Brasileirao 2026,5,Breno Henrique Vasconcelos Lopes,Coritiba,8,,15
2026-06-10,Brasileirao 2026,6,Danilo dos Santos de Oliveira,Botafogo,7,,12
2026-06-10,Brasileirao 2026,7,Gabriel Barbosa,Santos,7,,12
2026-06-10,Brasileirao 2026,8,Arthur Cabral,Botafogo,7,,15
2026-06-10,Brasileirao 2026,9,Luciano Juba,Bahia,7,,15
2026-06-11,Brasileirao 2026,1,Kevin Viveros,Athletico Paranaense,11,,17
2026-06-11,Brasileirao 2026,2,Pedro Guilherme Abreu dos Santos,Flamengo,10,,17
2026-06-11,Brasileirao 2026,3,Carlos Vinícius,Grêmio,9,,17
2026-06-11,Brasileirao 2026,4,John Kennedy,Fluminense,9,,17
2026-06-11,Brasileirao 2026,5,Breno Henrique Vasconcelos Lopes,Coritiba,8,,15
2026-06-11,Brasileirao 2026,6,Danilo dos Santos de Oliveira,Botafogo,7,,12
2026-06-11,Brasileirao 2026,7,Gabriel Barbosa,Santos,7,,12
2026-06-11,Brasileirao 2026,8,Arthur Cabral,Botafogo,7,,15
2026-06-11,Brasileirao 2026,9,Luciano Juba,Bahia,7,,15
2026-06-12,Brasileirao 2026,1,Kevin Viveros,Athletico Paranaense,11,,17
2026-06-12,Brasileirao 2026,2,Pedro Guilherme Abreu dos Santos,Flamengo,10,,17
2026-06-12,Brasileirao 2026,3,Carlos Vinícius,Grêmio,9,,17
2026-06-12,Brasileirao 2026,4,John Kennedy,Fluminense,9,,17
2026-06-12,Brasileirao 2026,5,Breno Henrique Vasconcelos Lopes,Coritiba,8,,15
2026-06-12,Brasileirao 2026,6,Danilo dos Santos de Oliveira,Botafogo,7,,12
2026-06-12,Brasileirao 2026,7,Gabriel Barbosa,Santos,7,,12
2026-06-12,Brasileirao 2026,8,Arthur Cabral,Botafogo,7,,15
2026-06-12,Brasileirao 2026,9,Luciano Juba,Bahia,7,,15
2026-06-13,Brasileirao 2026,1,Kevin Viveros,Athletico Paranaense,11,,17
2026-06-13,Brasileirao 2026,2,Pedro Guilherme Abreu dos Santos,Flamengo,10,,17
2026-06-13,Brasileirao 2026,3,Carlos Vinícius,Grêmio,9,,17
2026-06-13,Brasileirao 2026,4,John Kennedy,Fluminense,9,,17
2026-06-13,Brasileirao 2026,5,Breno Henrique Vasconcelos Lopes,Coritiba,8,,15
2026-06-13,Brasileirao 2026,6,Danilo dos Santos de Oliveira,Botafogo,7,,12
2026-06-13,Brasileirao 2026,7,Gabriel Barbosa,Santos,7,,12
2026-06-13,Brasileirao 2026,8,Arthur Cabral,Botafogo,7,,15
2026-06-13,Brasileirao 2026,9,Luciano Juba,Bahia,7,,15
2026-06-14,Brasileirao 2026,1,Kevin Viveros,Athletico Paranaense,11,,17
2026-06-14,Brasileirao 2026,2,Pedro Guilherme Abreu dos Santos,Flamengo,10,,17
2026-06-14,Brasileirao 2026,3,Carlos Vinícius,Grêmio,9,,17
2026-06-14,Brasileirao 2026,4,John Kennedy,Fluminense,9,,17
2026-06-14,Brasileirao 2026,5,Breno Henrique Vasconcelos Lopes,Coritiba,8,,15
2026-06-14,Brasileirao 2026,6,Danilo dos Santos de Oliveira,Botafogo,7,,12
2026-06-14,Brasileirao 2026,7,Gabriel Barbosa,Santos,7,,12
2026-06-14,Brasileirao 2026,8,Arthur Cabral,Botafogo,7,,15
2026-06-14,Brasileirao 2026,9,Luciano Juba,Bahia,7,,15
2026-06-15,Brasileirao 2026,1,Kevin Viveros,Athletico Paranaense,11,,17
2026-06-15,Brasileirao 2026,2,Pedro Guilherme Abreu dos Santos,Flamengo,10,,17
2026-06-15,Brasileirao 2026,3,Carlos Vinícius,Grêmio,9,,17
2026-06-15,Brasileirao 2026,4,John Kennedy,Fluminense,9,,17
2026-06-15,Brasileirao 2026,5,Breno Henrique Vasconcelos Lopes,Coritiba,8,,15
2026-06-15,Brasileirao 2026,6,Danilo dos Santos de Oliveira,Botafogo,7,,12
2026-06-15,Brasileirao 2026,7,Gabriel Barbosa,Santos,7,,12
2026-06-15,Brasileirao 2026,8,Arthur Cabral,Botafogo,7,,15
2026-06-15,Brasileirao 2026,9,Luciano Juba,Bahia,7,,15
2026-06-16,Brasileirao 2026,1,Kevin Viveros,Athletico Paranaense,11,,17
2026-06-16,Brasileirao 2026,2,Pedro Guilherme Abreu dos Santos,Flamengo,10,,17
2026-06-16,Brasileirao 2026,3,Carlos Vinícius,Grêmio,9,,17
2026-06-16,Brasileirao 2026,4,John Kennedy,Fluminense,9,,17
2026-06-16,Brasileirao 2026,5,Breno Henrique Vasconcelos Lopes,Coritiba,8,,15
2026-06-16,Brasileirao 2026,6,Danilo dos Santos de Oliveira,Botafogo,7,,12
2026-06-16,Brasileirao 2026,7,Gabriel Barbosa,Santos,7,,12
2026-06-16,Brasileirao 2026,8,Arthur Cabral,Botafogo,7,,15
2026-06-16,Brasileirao 2026,9,Luciano Juba,Bahia,7,,15
2026-06-17,Brasileirao 2026,1,Kevin Viveros,Athletico Paranaense,11,,17
2026-06-17,Brasileirao 2026,2,Pedro Guilherme Abreu dos Santos,Flamengo,10,,17
2026-06-17,Brasileirao 2026,3,Carlos Vinícius,Grêmio,9,,17
2026-06-17,Brasileirao 2026,4,John Kennedy,Fluminense,9,,17
2026-06-17,Brasileirao 2026,5,Breno Henrique Vasconcelos Lopes,Coritiba,8,,15
2026-06-17,Brasileirao 2026,6,Danilo dos Santos de Oliveira,Botafogo,7,,12
2026-06-17,Brasileirao 2026,7,Gabriel Barbosa,Santos,7,,12
2026-06-17,Brasileirao 2026,8,Arthur Cabral,Botafogo,7,,15
2026-06-17,Brasileirao 2026,9,Luciano Juba,Bahia,7,,15
2026-06-18,Brasileirao 2026,1,Kevin Viveros,Athletico Paranaense,11,,17
2026-06-18,Brasileirao 2026,2,Pedro Guilherme Abreu dos Santos,Flamengo,10,,17
2026-06-18,Brasileirao 2026,3,Carlos Vinícius,Grêmio,9,,17
2026-06-18,Brasileirao 2026,4,John Kennedy,Fluminense,9,,17
2026-06-18,Brasileirao 2026,5,Breno Henrique Vasconcelos Lopes,Coritiba,8,,15
2026-06-18,Brasileirao 2026,6,Danilo dos Santos de Oliveira,Botafogo,7,,12
2026-06-18,Brasileirao 2026,7,Gabriel Barbosa,Santos,7,,12
2026-06-18,Brasileirao 2026,8,Arthur Cabral,Botafogo,7,,15
2026-06-18,Brasileirao 2026,9,Luciano Juba,Bahia,7,,15
2026-06-19,Brasileirao 2026,1,Kevin Viveros,Athletico Paranaense,11,,17
2026-06-19,Brasileirao 2026,2,Pedro Guilherme Abreu dos Santos,Flamengo,10,,17
2026-06-19,Brasileirao 2026,3,Carlos Vinícius,Grêmio,9,,17
2026-06-19,Brasileirao 2026,4,John Kennedy,Fluminense,9,,17
2026-06-19,Brasileirao 2026,5,Breno Henrique Vasconcelos Lopes,Coritiba,8,,15
2026-06-19,Brasileirao 2026,6,Danilo dos Santos de Oliveira,Botafogo,7,,12
2026-06-19,Brasileirao 2026,7,Gabriel Barbosa,Santos,7,,12
2026-06-19,Brasileirao 2026,8,Arthur Cabral,Botafogo,7,,15
2026-06-19,Brasileirao 2026,9,Luciano Juba,Bahia,7,,15
2026-06-20,Brasileirao 2026,1,Kevin Viveros,Athletico Paranaense,11,,17
2026-06-20,Brasileirao 2026,2,Pedro Guilherme Abreu dos Santos,Flamengo,10,,17
2026-06-20,Brasileirao 2026,3,Carlos Vinícius,Grêmio,9,,17
2026-06-20,Brasileirao 2026,4,John Kennedy,Fluminense,9,,17
2026-06-20,Brasileirao 2026,5,Breno Henrique Vasconcelos Lopes,Coritiba,8,,15
2026-06-20,Brasileirao 2026,6,Danilo dos Santos de Oliveira,Botafogo,7,,12
2026-06-20,Brasileirao 2026,7,Gabriel Barbosa,Santos,7,,12
2026-06-20,Brasileirao 2026,8,Arthur Cabral,Botafogo,7,,15
2026-06-20,Brasileirao 2026,9,Luciano Juba,Bahia,7,,15
2026-06-21,Brasileirao 2026,1,Kevin Viveros,Athletico Paranaense,11,,17
2026-06-21,Brasileirao 2026,2,Pedro Guilherme Abreu dos Santos,Flamengo,10,,17
2026-06-21,Brasileirao 2026,3,Carlos Vinícius,Grêmio,9,,17
2026-06-21,Brasileirao 2026,4,John Kennedy,Fluminense,9,,17
2026-06-21,Brasileirao 2026,5,Breno Henrique Vasconcelos Lopes,Coritiba,8,,15
2026-06-21,Brasileirao 2026,6,Danilo dos Santos de Oliveira,Botafogo,7,,12
2026-06-21,Brasileirao 2026,7,Gabriel Barbosa,Santos,7,,12
2026-06-21,Brasileirao 2026,8,Arthur Cabral,Botafogo,7,,15
2026-06-21,Brasileirao 2026,9,Luciano Juba,Bahia,7,,15
2026-06-22,Brasileirao 2026,1,Kevin Viveros,Athletico Paranaense,11,,17
2026-06-22,Brasileirao 2026,2,Pedro Guilherme Abreu dos Santos,Flamengo,10,,17
2026-06-22,Brasileirao 2026,3,Carlos Vinícius,Grêmio,9,,17
2026-06-22,Brasileirao 2026,4,John Kennedy,Fluminense,9,,17
2026-06-22,Brasileirao 2026,5,Breno Henrique Vasconcelos Lopes,Coritiba,8,,15
2026-06-22,Brasileirao 2026,6,Danilo dos Santos de Oliveira,Botafogo,7,,12
2026-06-22,Brasileirao 2026,7,Gabriel Barbosa,Santos,7,,12
2026-06-22,Brasileirao 2026,8,Arthur Cabral,Botafogo,7,,15
2026-06-22,Brasileirao 2026,9,Luciano Juba,Bahia,7,,15
2026-06-23,Brasileirao 2026,1,Kevin Viveros,Athletico Paranaense,11,,17
2026-06-23,Brasileirao 2026,2,Pedro Guilherme Abreu dos Santos,Flamengo,10,,17
2026-06-23,Brasileirao 2026,3,Carlos Vinícius,Grêmio,9,,17
2026-06-23,Brasileirao 2026,4,John Kennedy,Fluminense,9,,17
2026-06-23,Brasileirao 2026,5,Breno Henrique Vasconcelos Lopes,Coritiba,8,,15
2026-06-23,Brasileirao 2026,6,Danilo dos Santos de Oliveira,Botafogo,7,,12
2026-06-23,Brasileirao 2026,7,Gabriel Barbosa,Santos,7,,12
2026-06-23,Brasileirao 2026,8,Arthur Cabral,Botafogo,7,,15
2026-06-23,Brasileirao 2026,9,Luciano Juba,Bahia,7,,15
2026-06-24,Brasileirao 2026,1,Kevin Viveros,Athletico Paranaense,11,,17
2026-06-24,Brasileirao 2026,2,Pedro Guilherme Abreu dos Santos,Flamengo,10,,17
2026-06-24,Brasileirao 2026,3,Carlos Vinícius,Grêmio,9,,17
2026-06-24,Brasileirao 2026,4,John Kennedy,Fluminense,9,,17
2026-06-24,Brasileirao 2026,5,Breno Henrique Vasconcelos Lopes,Coritiba,8,,15
2026-06-24,Brasileirao 2026,6,Danilo dos Santos de Oliveira,Botafogo,7,,12
2026-06-24,Brasileirao 2026,7,Gabriel Barbosa,Santos,7,,12
2026-06-24,Brasileirao 2026,8,Arthur Cabral,Botafogo,7,,15
2026-06-24,Brasileirao 2026,9,Luciano Juba,Bahia,7,,15
2026-06-25,Brasileirao 2026,1,Kevin Viveros,Athletico Paranaense,11,,17
2026-06-25,Brasileirao 2026,2,Pedro Guilherme Abreu dos Santos,Flamengo,10,,17
2026-06-25,Brasileirao 2026,3,Carlos Vinícius,Grêmio,9,,17
2026-06-25,Brasileirao 2026,4,John Kennedy,Fluminense,9,,17
2026-06-25,Brasileirao 2026,5,Breno Henrique Vasconcelos Lopes,Coritiba,8,,15
2026-06-25,Brasileirao 2026,6,Danilo dos Santos de Oliveira,Botafogo,7,,12
2026-06-25,Brasileirao 2026,7,Gabriel Barbosa,Santos,7,,12
2026-06-25,Brasileirao 2026,8,Arthur Cabral,Botafogo,7,,15
2026-06-25,Brasileirao 2026,9,Luciano Juba,Bahia,7,,15
2026-06-26,Brasileirao 2026,1,Kevin Viveros,Athletico Paranaense,11,,17
2026-06-26,Brasileirao 2026,2,Pedro Guilherme Abreu dos Santos,Flamengo,10,,17
2026-06-26,Brasileirao 2026,3,Carlos Vinícius,Grêmio,9,,17
2026-06-26,Brasileirao 2026,4,John Kennedy,Fluminense,9,,17
2026-06-26,Brasileirao 2026,5,Breno Henrique Vasconcelos Lopes,Coritiba,8,,15
