fecha_captura,Equipo,GF,GC
2026-06-17,F. C. Barcelona (C),95,36
2026-06-17,Real Madrid C. F.,77,35
2026-06-17,Villarreal C. F.,72,46
2026-06-17,Atlético de Madrid,62,44
2026-06-17,Real Betis Balompié[a],59,48
2026-06-17,R. C. Celta de Vigo,53,48
2026-06-17,Getafe C. F.,32,38
2026-06-17,Rayo Vallecano,41,44
2026-06-17,Valencia C. F.,46,55
2026-06-17,Real Sociedad[b],59,61
2026-06-17,R. C. D. Espanyol,43,55
2026-06-17,Athletic Club,43,58
2026-06-17,Sevilla F. C.,46,60
2026-06-17,Deportivo Alavés,44,56
2026-06-17,Elche C. F.,49,57
2026-06-17,Levante U. D.,47,61
2026-06-17,C. A. Osasuna,44,50
2026-06-17,R. C. D. Mallorca (D),47,57
2026-06-17,Girona F. C. (D),39,55
2026-06-17,Real Oviedo (D),26,60
